x,y
5.52408,13321
6.07656,12971
6.62928,13046
7.18176,12725
7.73472,13046
8.28816,13098
8.84088,13783
9.3924,14342
9.94488,14990
10.49784,15698
11.05008,16786
11.60184,17762
12.15456,18164
12.70704,18768
13.25928,19334
13.812,20414
14.36472,20846
14.9172,20727
15.46992,21629
16.02384,21733
16.57656,21934
17.12832,21994
17.68104,21584
18.23328,21569
18.78528,21673
19.33656,21062
19.88856,19975
20.44056,20302
20.99088,19207
21.54336,18924
22.09464,18335
22.64592,17158
23.19672,16369
23.74776,15266
24.29952,14901
24.85032,13724
25.40232,13128
25.95336,11734
26.50536,11645
27.05688,10952
27.60768,10393
28.15968,10207
28.71144,9730
29.26224,9343
29.814,9082
30.36504,8948
30.91608,8881
31.46832,8851
32.01936,9112
32.57232,9447
33.12288,9715
33.67392,9879
34.22496,10691
34.77576,10855
35.32608,11429
35.87712,12010
36.4284,12770
36.9792,13537
37.53024,14074
38.08224,14931
38.63424,15199
39.18576,16205
39.73704,16361
40.28952,16793
40.842,17359
41.394,17739
41.94552,18209
42.49776,18544
43.04952,18283
43.6008,18298
44.15112,18037
44.70168,18008
45.25248,17620
45.80472,17374
46.356,17441
46.90752,16965
47.4588,16272
48.01104,15951
48.564,15415
49.11576,15214
49.66704,15013
50.21856,14580
50.76912,14305
51.32064,13932
51.8712,13619
52.42248,13090
52.9728,13046
53.5236,12867
54.07488,12614
54.6264,12919
55.17768,12755
55.72872,12658
56.28048,12569
56.83296,12755
57.38496,13031
57.93672,13083
58.488,13590
59.03856,13858
59.58864,14290
60.1392,14253
60.69048,14700
61.24104,14908
61.79232,15340
62.34312,15758
62.89416,16071
63.44544,16570
63.9972,17158
64.54896,17561
65.09976,17806
65.65032,18380
66.20232,18306
66.75312,18872
67.30344,18686
67.85352,19162
68.40384,19006
68.95536,19289
69.50592,19274
70.05672,19677
70.60776,19356
71.15856,19215
71.70936,19662
72.26016,19624
72.81168,19259
73.36248,19140
73.91304,18917
74.4648,18835
75.01584,18559
75.5676,18470
76.11816,18775
76.66872,18552
77.2188,18164
77.76912,18365
78.32016,18283
78.87072,18373
79.42176,18306
79.97352,18544
80.52576,18738
81.07728,18917
81.62832,18522
82.17984,18492
82.73064,19066
83.28144,19379
83.83224,19468
84.38304,20168
84.93456,20533
85.48464,19736
86.03544,21055
86.5872,21211
87.138,21457
87.68952,21532
88.24176,21837
88.79328,22441
89.34408,22940
89.89464,23245
90.44592,23215
90.9972,23156
91.54752,23506
92.09808,24184
92.64936,23849
93.19992,24363
93.75168,24720
94.30368,24400
94.85472,24661
95.40576,24758
95.95728,24512
96.50928,24333
97.06224,24884
97.61472,25458
98.166,25108
98.71704,24832
99.26808,25711
99.82008,24862
100.3716,24951
100.92336,24974
101.4744,24951
102.02664,25764
102.57768,25510
103.1292,25935
103.68,25361
104.23104,25354
104.7828,26151
105.33504,25913
105.8856,26017
106.43712,26732
106.9884,26941
107.53968,27201
108.09024,27060
108.642,27187
109.1928,26285
109.7436,28319
110.2956,28550
110.84688,29057
111.39864,29012
111.95064,29422
112.50168,29481
113.05464,29817
113.60592,30636
114.15672,30472
114.70824,31448
115.25976,31731
115.81032,32074
116.36136,32350
116.91216,32789
117.4644,32223
118.01592,32618
118.5672,32543
119.11872,33333
119.66976,33862
120.2208,33430
120.7728,33646
121.3248,33341
121.87608,34235
122.42784,33728
122.97912,34302
123.53016,34682
124.08072,34458
124.63176,33467
125.1828,34220
125.7336,34287
126.2844,34838
126.83616,34637
127.3872,34734
127.938,35352
128.48952,35583
129.04248,35345
129.5952,36120
130.14648,35315
130.69824,35956
131.24976,35322
131.80032,36500
132.35136,36790
132.90312,36872
133.45464,36947
134.00592,36790
134.55816,36425
135.11064,37103
135.66168,37066
136.21392,37602
136.76496,38407
137.3172,38474
137.86824,38846
138.42048,38139
138.97224,38243
139.52352,38645
140.07408,38936
140.62536,39919
141.17544,39711
141.72696,40210
142.278,40061
142.82976,39897
143.3808,40836
143.93232,39986
144.4836,40709
145.03536,41275
145.58712,40642
146.13816,41171
146.6892,41335
147.24072,41283
147.79224,41923
148.34352,41231
148.8948,40590
149.44608,41395
149.99808,41231
150.54936,40985
151.10088,40366
151.65192,41089
152.20344,41581
152.75496,41752
153.30744,40754
153.85872,42073
154.40976,41156
154.96128,40754
155.5128,40985
156.06408,41223
156.6156,41558
157.16664,40731
157.71768,40195
158.26896,41007
158.82,41737
159.37128,40791
159.92256,40858
160.4748,41640
161.02656,40590
161.5788,40687
162.13008,41730
162.68256,41208
163.23384,39733
163.78536,41447
164.33616,40530
164.88744,41357
165.43896,41000
165.99024,39115
